CUSTOMER_RK,NATIONAL_ID,NAME,ADDRESS,PHONE,EMAIL,PERMANENT_RESIDENT_FLG,CUSTOMER_AGE,CUSTOMER_STATUS,BUREAU_SCORE,TOTAL_NON_CARD_BALANCE,BUREAU_INVESTIGATION_DATE_SINCE,BUREAU_CARD_UTILIZATION,DOCUMENTATION_COMPLETED_FLG,CUSTOMER_EMPLOYMENT_TYPE,DOCUMENTATION_TYPE,DPD30_AUTO_LOANS_CNT,DPD30_CASH_COLLATERAL_CNT,DPD30_CC_LOANS_CNT,DPD30_MORTGAGE_LOANS_CNT,DPD30_OVERDRAFT_LOANS_CNT,DPD30_PERSONAL_LOANS_CNT,LAST_MONTH_30,NUM_CHARGE_OFF_36M,HOME_INCONSISTENCY_FLG,INTEREST_INCOME,MAIDEN_NAME_INCONSISTENCY_FLG,OTHER_INCOME,RENT_INCOME,REQUESTED_LOAN_TENOR,REQUESTED_LOAN_AMOUNT,REQUESTED_PAYMENT_PLAN,SALARY_TIE_UP_AMOUNT,TOTAL_CC_AMOUNT,TOTAL_LOAN_INSTALLMENT,TOTAL_OPEN_CARD_BALANCE,TOTAL_OPEN_CC_BALANCE,TOTAL_OPEN_LOAN_INSTALLMENT,TOTAL_OVERDRAFTS_AMOUNT,TOTAL_PERS_LOANS_BAL_UNSECURE,IB_WPS_CARD_LAST_12M,IB_WPS_MORTGAGE_LAST_12M,IB_WPS_OD_LAST_12M,IB_WPS_AUTO_LOAN_LAST_12M,IB_WPS_LOAN_LAST_12M,MAX_DUR_SINCE_CC_OPEN,EXISTING_CUSTOMER,FRAUD_FLG,BUSINESS_INCONSISTENCY_FLG,VERIFICATION_COMPLETED_FLG,VERIFIED_DOCUMENT_INCOME_FLG,PRODUCT_CODE,EMAIL_PROVIDED_FLG,EMAIL_INCONSISTENCY_FLG,IS_EMPLOYEE_FLG,DECLARED_INCOME,DOCUMENTED_INCOME,TOTAL_EMPLOYMENT_DURATION,PLEDGED_AMOUNT,VERIFIED_INCOME,WPS_LIFETIME,CUSTOMER_MONTHLY_EXPENSES,BAD
928329,773-39-4721,Brittany Russo,"6400 Morrison Light Port Donnaton, MN 44666",8734910917,grose@example.org,Y,36,O,755,37291,15,0.8,Y,L,ID,0,0,0,0,0,0,2,4,N,522,Y,0,0,6,12699,U,159,9011,176,1068,1391,524,186,1663,1,2,6,0,3,20,Y,N,N,Y,Y,PL1,N,N,N,8841,11352,191,704,11992,0,6846,0
119283,624-51-7134,Cassandra Collins,"41560 Eric Inlet Apt. 505 Lake Jerryshire, GU 67566",307.799.0281x0249,sduncan@example.com,Y,56,O,616,21072,54,0.57,Y,R,ID,0,0,0,0,0,0,0,1,N,572,N,0,0,36,32664,B,104,953,363,1083,511,957,158,802,8,2,0,0,10,29,Y,N,N,N,N,PL2,Y,N,N,7364,6329,196,187,6868,0,6421,0
494802,194-74-1329,Steven Bruce,"86511 Taylor Fords Hernandezton, CA 70012",+1-789-694-0035x8720,charleselizabeth@example.org,Y,36,C,306,39838,19,0.18,Y,N,ID,0,0,0,0,0,0,0,1,N,599,N,0,0,24,39444,B,257,5964,701,490,1184,812,388,1924,6,1,2,6,4,28,Y,N,N,Y,Y,PL1,Y,N,Y,10045,7695,215,431,8353,0,6804,0
702163,701-55-2892,Samuel Reilly,"9416 Franklin Valleys East Amanda, NE 60556",(426)586-7269,vasquezjustin@example.com,Y,29,O,512,4509,29,0.63,N,N,BS,0,0,0,0,0,0,0,4,N,650,N,0,0,12,39837,F,277,1242,648,820,254,724,382,1877,8,0,10,6,2,40,N,N,N,N,N,PL2,Y,Y,N,6686,4944,154,944,4782,0,2932,0
586970,883-97-9612,Joshua Baldwin,"568 Jennifer Mews Suite 319 East Steven, VT 56861",(716)644-6797x6840,romerojoshua@example.net,Y,40,O,709,16585,19,0.68,Y,S,SC,0,0,0,0,0,0,0,0,N,705,N,0,0,6,6626,U,283,11805,604,998,1104,403,380,1416,6,1,7,0,5,78,N,N,N,Y,Y,PL1,Y,N,Y,7982,10041,143,256,10453,0,3234,0
966755,648-78-1187,David Potter,USS Ford FPO AA 82235,672-989-5101x98539,anthony58@example.org,Y,35,O,797,36767,69,0.75,Y,L,ID,0,0,0,0,0,0,0,0,N,623,N,0,0,24,29276,U,396,0,503,948,1226,363,201,1653,9,2,5,6,3,100,N,N,N,Y,Y,PL1,Y,N,N,9283,6712,191,555,6448,0,2494,0
776178,410-24-5022,Diane Ward,USNS Carpenter FPO AA 51400,(921)685-7711,richardsonronald@example.com,Y,56,O,751,20775,59,0.16,Y,N,ID,0,0,0,0,1,0,1,4,N,419,N,0,0,6,13717,F,172,9501,693,940,612,729,391,1778,0,0,1,4,7,2,Y,N,N,N,N,PL1,Y,N,Y,6325,6029,157,378,6459,0,1926,0
840871,650-72-4147,Karl Hunt,USNS Trevino FPO AE 28363,361-426-3115,anthony87@example.com,Y,45,O,603,33403,46,0.51,Y,N,ID,0,0,0,0,0,0,2,2,N,921,N,0,0,24,21316,F,90,1676,887,760,1033,364,222,2651,5,0,2,4,1,4,Y,N,N,Y,Y,PL2,Y,N,N,5508,6421,161,472,6615,0,4602,0
852169,453-32-3667,Jeanne Bartlett,"59186 Laura Hollow Apt. 845 Lake Victoriafort, ME 87315",225.794.6938,ericksonryan@example.com,Y,49,S,250,18365,48,0.27,Y,P,ID,0,0,0,0,0,0,0,2,N,546,N,0,0,6,12714,B,149,4128,444,251,829,996,309,540,3,2,7,8,9,83,Y,N,N,Y,Y,PL2,Y,N,N,7965,9290,89,258,8479,0,10396,1
391897,310-08-0101,Stefanie Wilkinson,"558 James Street Suite 563 Port Edwardhaven, MS 95317",8354560710,arodgers@example.org,Y,33,O,787,48214,46,0.61,Y,M,ID,0,0,0,0,0,0,2,4,N,741,N,0,0,12,40327,U,124,3691,912,826,1106,208,211,1431,4,0,0,5,8,40,Y,N,N,Y,Y,PL2,Y,N,Y,8909,8338,188,298,8044,0,1923,0
